date,open,high,low,close,volume,maturity
2023-07-25,3.869,3.92,3.859,3.8944,0,10y
2023-07-26,3.898,3.904,3.847,3.8569,0,10y
2023-07-27,3.875,4.022,3.841,4.0022,0,10y
2023-07-28,4.003,4.043,3.939,3.9586,0,10y
2023-07-31,3.973,4.003,3.929,3.9488,0,10y
2023-08-01,3.959,4.057,3.951,4.0371,0,10y
2023-08-02,4.021,4.126,4.011,4.0695,0,10y
2023-08-03,4.088,4.198,4.088,4.1874,0,10y
2023-08-04,4.18,4.204,4.038,4.0479,0,10y
2023-08-07,4.048,4.123,4.046,4.0885,0,10y
2023-08-08,4.083,4.085,3.984,4.02,0,10y
2023-08-09,4.004,4.044,3.99,4.0061,0,10y
2023-08-10,4.009,4.119,3.957,4.1055,0,10y
2023-08-11,4.123,4.178,4.082,4.1698,0,10y
2023-08-14,4.174,4.215,4.148,4.1874,0,10y
2023-08-15,4.201,4.274,4.168,4.2149,0,10y
2023-08-16,4.215,4.278,4.17,4.2721,0,10y
2023-08-17,4.29,4.29,4.29,4.29,0,10y
2023-08-18,4.2507,4.2507,4.2507,4.2507,0,10y
2023-08-21,4.3379,4.3379,4.3379,4.3379,0,10y
2023-08-22,4.33,4.33,4.33,4.33,0,10y
2023-08-23,4.184,4.184,4.184,4.184,0,10y
2023-08-24,4.2352,4.2352,4.2352,4.2352,0,10y
2023-08-25,4.2334,4.2334,4.2334,4.2334,0,10y
2023-08-28,4.202,4.202,4.202,4.202,0,10y
2023-08-29,4.1119,4.1119,4.1119,4.1119,0,10y
2023-08-30,4.1159,4.1159,4.1159,4.1159,0,10y
2023-08-31,4.0964,4.0964,4.0964,4.0964,0,10y
2023-09-01,4.1867,4.1867,4.1867,4.1867,0,10y
2023-09-05,4.2657,4.2657,4.2657,4.2657,0,10y
2023-09-06,4.2975,4.2975,4.2975,4.2975,0,10y
2023-09-07,4.2619,4.2619,4.2619,4.2619,0,10y
2023-09-08,4.2582,4.2582,4.2582,4.2582,0,10y
2023-09-11,4.288,4.288,4.288,4.288,0,10y
2023-09-12,4.2662,4.2662,4.2662,4.2662,0,10y
2023-09-13,4.2524,4.2524,4.2524,4.2524,0,10y
2023-09-14,4.2903,4.2903,4.2903,4.2903,0,10y
2023-09-15,4.3324,4.3324,4.3324,4.3324,0,10y
2023-09-18,4.3165,4.3165,4.3165,4.3165,0,10y
2023-09-19,4.3647,4.3647,4.3647,4.3647,0,10y
2023-09-20,4.3708,4.3708,4.3708,4.3708,0,10y
2023-09-21,4.486,4.486,4.486,4.486,0,10y
2023-09-22,4.4297,4.4297,4.4297,4.4297,0,10y
2023-09-25,4.5436,4.5436,4.5436,4.5436,0,10y
2023-09-26,4.5499,4.5499,4.5499,4.5499,0,10y
2023-09-27,4.6075,4.6075,4.6075,4.6075,0,10y
2023-09-28,4.5748,4.5748,4.5748,4.5748,0,10y
2023-09-29,4.5732,4.5732,4.5732,4.5732,0,10y
2023-10-02,4.6868,4.6868,4.6868,4.6868,0,10y
2023-10-03,4.806,4.806,4.806,4.806,0,10y
2023-10-04,4.7267,4.7267,4.7267,4.7267,0,10y
2023-10-05,4.7144,4.7144,4.7144,4.7144,0,10y
2023-10-06,4.7967,4.7967,4.7967,4.7967,0,10y
2023-10-09,4.6383,4.6383,4.6383,4.6383,0,10y
2023-10-10,4.653,4.653,4.653,4.653,0,10y
2023-10-11,4.5706,4.5706,4.5706,4.5706,0,10y
2023-10-12,4.7073,4.7073,4.7073,4.7073,0,10y
2023-10-13,4.6207,4.6207,4.6207,4.6207,0,10y
2023-10-16,4.706,4.706,4.706,4.706,0,10y
2023-10-17,4.8341,4.8341,4.8341,4.8341,0,10y
2023-10-18,4.9021,4.9021,4.9021,4.9021,0,10y
2023-10-19,4.9834,4.9834,4.9834,4.9834,0,10y
2023-10-20,4.9137,4.9137,4.9137,4.9137,0,10y
2023-10-23,4.8523,4.8523,4.8523,4.8523,0,10y
2023-10-24,4.8187,4.8187,4.8187,4.8187,0,10y
2023-10-25,4.94,4.94,4.94,4.94,0,10y
2023-10-26,4.8424,4.8424,4.8424,4.8424,0,10y
2023-10-27,4.8325,4.8325,4.8325,4.8325,0,10y
2023-10-30,4.8793,4.8793,4.8793,4.8793,0,10y
2023-10-31,4.9094,4.9094,4.9094,4.9094,0,10y
2023-11-01,4.7614,4.7614,4.7614,4.7614,0,10y
2023-11-02,4.6694,4.6694,4.6694,4.6694,0,10y
2023-11-03,4.5744,4.5744,4.5744,4.5744,0,10y
2023-11-06,4.591,4.666,4.577,4.6514,0,10y
2023-11-07,4.637,4.662,4.546,4.5748,0,10y
2023-11-08,4.563,4.614,4.488,4.513,0,10y
2023-11-09,4.496,4.654,4.473,4.6379,0,10y
2023-11-10,4.65,4.656,4.567,4.6201,0,10y
2023-11-13,4.646,4.694,4.624,4.628,0,10y
2023-11-14,4.644,4.656,4.434,4.4453,0,10y
2023-11-15,4.445,4.559,4.428,4.5451,0,10y
2023-11-16,4.516,4.518,4.432,4.4531,0,10y
2023-11-17,4.445,4.469,4.381,4.4413,0,10y
