date,open,high,low,close,volume,maturity
2022-10-31,4.455,4.52,4.443,4.4989,0,2y
2022-11-01,4.489,4.559,4.404,4.5405,0,2y
2022-11-02,4.541,4.634,4.439,4.5739,0,2y
2022-11-03,4.5739,5.134,4.5739,4.6992,0,2y
2022-11-04,4.725,4.881,4.644,4.65,0,2y
2022-11-07,4.682,4.73,4.673,4.7259,0,2y
2022-11-08,4.739,4.741,4.651,4.6758,0,2y
2022-11-09,4.664,4.695,4.565,4.6257,0,2y
2022-11-10,4.585,4.631,4.292,4.3237,0,2y
2022-11-11,4.3237,4.3825,4.3153,4.3573,0,2y
2022-11-14,4.412,4.439,4.372,4.4077,0,2y
2022-11-15,4.403,4.408,4.323,4.3571,0,2y
2022-11-16,4.34,4.401,4.321,4.3655,0,2y
2022-11-17,4.363,4.486,4.349,4.4499,0,2y
2022-11-18,4.467,4.539,4.444,4.5095,0,2y
2022-11-21,4.501,4.567,4.495,4.5437,0,2y
2022-11-22,4.531,4.548,4.49,4.5165,0,2y
2022-11-23,4.5165,4.568,4.469,4.4835,0,2y
2022-11-24,4.4835,4.4835,4.4258,4.4258,0,2y
2022-11-25,4.446,4.521,4.424,4.4752,0,2y
2022-11-28,4.459,4.486,4.424,4.467,0,2y
2022-11-29,4.453,4.49,4.409,4.4752,0,2y
2022-11-30,4.479,4.55,4.314,4.3761,0,2y
2022-12-01,4.322,4.368,4.23,4.2522,0,2y
2022-12-02,4.255,4.408,4.181,4.2841,0,2y
2022-12-05,4.309,4.416,4.292,4.3915,0,2y
2022-12-06,4.387,4.41,4.341,4.3581,0,2y
2022-12-07,4.374,4.381,4.237,4.2582,0,2y
2022-12-08,4.272,4.326,4.268,4.316,0,2y
2022-12-09,4.315,4.359,4.252,4.3318,0,2y
2022-12-12,4.359,4.409,4.319,4.4068,0,2y
2022-12-13,4.381,4.444,4.141,4.2308,0,2y
2022-12-14,4.2308,4.316,4.161,4.2471,0,2y
2022-12-15,4.245,4.278,4.196,4.2467,0,2y
2022-12-16,4.252,4.3,4.157,4.1783,0,2y
2022-12-19,4.205,4.268,4.169,4.262,0,2y
2022-12-20,4.259,4.312,4.245,4.27,0,2y
2022-12-21,4.265,4.28,4.198,4.219,0,2y
2022-12-22,4.219,4.286,4.191,4.2608,0,2y
2022-12-23,4.278,4.332,4.259,4.3189,0,2y
2022-12-27,4.331,4.443,4.329,4.4126,0,2y
2022-12-28,4.334,4.365,4.328,4.3574,0,2y
2022-12-29,4.351,4.384,4.339,4.3657,0,2y
2022-12-30,4.3657,4.447,4.3657,4.4071,0,2y
2023-01-03,4.4071,4.461,4.343,4.4073,0,2y
2023-01-04,4.382,4.393,4.32,4.3908,0,2y
2023-01-05,4.366,4.495,4.366,4.4492,0,2y
2023-01-06,4.464,4.519,4.245,4.2578,0,2y
2023-01-09,4.2578,4.293,4.185,4.1994,0,2y
2023-01-10,4.216,4.283,4.199,4.2577,0,2y
2023-01-11,4.245,4.266,4.207,4.2242,0,2y
2023-01-12,4.228,4.329,4.111,4.1405,0,2y
2023-01-13,4.142,4.243,4.11,4.2406,0,2y
2023-01-17,4.249,4.264,4.179,4.1899,0,2y
2023-01-18,4.205,4.215,4.074,4.072,0,2y
2023-01-19,4.082,4.143,4.04,4.1222,0,2y
2023-01-20,4.132,4.202,4.128,4.1808,0,2y
2023-01-23,4.176,4.24,4.159,4.2401,0,2y
2023-01-24,4.227,4.255,4.195,4.2145,0,2y
2023-01-25,4.1497,4.168,4.113,4.1332,0,2y
2023-01-26,4.1332,4.222,4.125,4.1743,0,2y
2023-01-27,4.191,4.23,4.181,4.2073,0,2y
2023-01-30,4.22,4.271,4.197,4.265,0,2y
2023-01-31,4.249,4.251,4.178,4.2073,0,2y
2023-02-01,4.207,4.263,4.086,4.1084,0,2y
2023-02-02,4.1,4.121,4.036,4.0918,0,2y
2023-02-03,4.102,4.316,4.069,4.299,0,2y
2023-02-06,4.358,4.493,4.335,4.4828,0,2y
2023-02-07,4.475,4.481,4.387,4.4665,0,2y
2023-02-08,4.459,4.482,4.415,4.4334,0,2y
2023-02-09,4.43,4.514,4.409,4.5009,0,2y
2023-02-10,4.5,4.534,4.475,4.5276,0,2y
2023-02-13,4.517,4.56,4.505,4.5281,0,2y
2023-02-14,4.524,4.641,4.425,4.6303,0,2y
2023-02-15,4.625,4.701,4.591,4.6224,0,2y
2023-02-16,4.632,4.687,4.58,4.6485,0,2y
2023-02-17,4.649,4.718,4.615,4.6169,0,2y
2023-02-21,4.665,4.738,4.645,4.729,0,2y
2023-02-22,4.714,4.714,4.656,4.6995,0,2y
2023-02-23,4.6995,4.749,4.679,4.6912,0,2y
2023-02-24,4.699,4.841,4.679,4.8073,0,2y
2023-02-27,4.801,4.857,4.772,4.7824,0,2y
2023-02-28,4.791,4.835,4.787,4.7909,0,2y
2023-03-01,4.837,4.904,4.82,4.891,0,2y
2023-03-02,4.883,4.944,4.875,4.8913,0,2y
2023-03-03,4.898,4.915,4.838,4.8585,0,2y
2023-03-06,4.859,4.901,4.825,4.884,0,2y
2023-03-07,4.901,5.021,4.853,5.019,0,2y
2023-03-08,5.041,5.085,4.973,5.0616,0,2y
2023-03-09,5.054,5.062,4.868,4.8932,0,2y
2023-03-10,4.82,4.852,4.578,4.582,0,2y
2023-03-13,4.479,4.534,3.941,4.0138,0,2y
2023-03-14,4.048,4.397,3.83,4.2295,0,2y
2023-03-15,4.304,4.413,3.72,3.904,0,2y
2023-03-16,3.888,4.214,3.822,4.1614,0,2y
2023-03-17,4.187,4.252,3.804,3.8749,0,2y
2023-03-20,3.964,4.027,3.637,3.9491,0,2y
2023-03-21,3.9491,4.187,3.925,4.1749,0,2y
2023-03-22,4.143,4.259,3.918,3.9472,0,2y
2023-03-23,3.959,4.009,3.758,3.787,0,2y
2023-03-24,3.844,3.857,3.555,3.7751,0,2y
2023-03-27,3.808,4.031,3.776,4.01,0,2y
2023-03-28,3.951,4.097,3.895,4.0474,0,2y
2023-03-29,4.084,4.138,4.004,4.0886,0,2y
2023-03-30,4.101,4.161,4.035,4.1051,0,2y
2023-03-31,4.112,4.172,4.023,4.0397,0,2y
2023-04-03,4.092,4.139,3.961,3.9738,0,2y
2023-04-04,3.974,4.034,3.819,3.8418,0,2y
2023-04-05,3.842,3.897,3.646,3.8004,0,2y
2023-04-06,3.773,3.845,3.674,3.8247,0,2y
2023-04-07,3.8247,3.997,3.823,3.9909,0,2y
2023-04-10,3.949,4.024,3.926,4.0077,0,2y
2023-04-11,3.995,4.081,3.964,4.0329,0,2y
2023-04-12,4.037,4.075,3.876,3.9745,0,2y
2023-04-13,3.958,3.996,3.893,3.9662,0,2y
2023-04-14,3.969,4.137,3.945,4.0926,0,2y
2023-04-17,4.125,4.207,4.099,4.1942,0,2y
2023-04-18,4.184,4.231,4.154,4.22,0,2y
2023-04-19,4.21,4.286,4.201,4.2628,0,2y
2023-04-20,4.248,4.257,4.142,4.1529,0,2y
2023-04-21,4.152,4.203,4.094,4.188,0,2y
2023-04-24,4.182,4.184,4.092,4.1372,0,2y
2023-04-25,4.088,4.101,3.903,3.9162,0,2y
2023-04-26,3.932,3.998,3.869,3.9242,0,2y
2023-04-27,3.939,4.109,3.926,4.0888,0,2y
2023-04-28,4.068,4.109,4.002,4.0311,0,2y
2023-05-01,4.052,4.163,4.04,4.1469,0,2y
2023-05-02,4.133,4.151,3.928,3.9819,0,2y
2023-05-03,3.9819,4.017,3.807,3.8501,0,2y
2023-05-04,3.8501,3.943,3.657,3.7759,0,2y
2023-05-05,3.7759,3.947,3.7759,3.916,0,2y
2023-05-08,3.941,4.016,3.918,4.0074,0,2y
2023-05-09,4.003,4.068,3.966,4.0409,0,2y
2023-05-10,4.018,4.089,3.874,3.916,0,2y
2023-05-11,3.916,3.939,3.81,3.8994,0,2y
2023-05-12,3.887,4.008,3.874,3.9914,0,2y
2023-05-15,3.992,4.031,3.964,3.9999,0,2y
2023-05-16,4.008,4.12,3.962,4.0673,0,2y
2023-05-17,4.065,4.181,4.057,4.1519,0,2y
2023-05-18,4.15,4.281,4.131,4.2623,0,2y
2023-05-19,4.253,4.349,4.198,4.2978,0,2y
2023-05-22,4.251,4.345,4.222,4.3325,0,2y
2023-05-23,4.318,4.406,4.314,4.3331,0,2y
2023-05-24,4.275,4.39,4.248,4.3654,0,2y
2023-05-25,4.37,4.539,4.367,4.5308,0,2y
2023-05-26,4.537,4.637,4.483,4.5723,0,2y
2023-05-30,4.593,4.595,4.446,4.448,0,2y
2023-05-31,4.461,4.463,4.365,4.3986,0,2y
2023-06-01,4.392,4.463,4.316,4.3408,0,2y
2023-06-02,4.345,4.528,4.333,4.499,0,2y
2023-06-05,4.528,4.574,4.426,4.4826,0,2y
2023-06-06,4.466,4.543,4.437,4.5246,0,2y
2023-06-07,4.489,4.605,4.483,4.5584,0,2y
2023-06-08,4.54,4.592,4.475,4.5168,0,2y
2023-06-09,4.522,4.615,4.514,4.6104,0,2y
2023-06-12,4.577,4.577,4.577,4.577,0,2y
2023-06-13,4.6789,4.6789,4.6789,4.6789,0,2y
2023-06-14,4.7134,4.7134,4.7134,4.7134,0,2y
2023-06-15,4.6375,4.6375,4.6375,4.6375,0,2y
2023-06-16,4.7162,4.7162,4.7162,4.7162,0,2y
2023-06-19,4.759,4.759,4.759,4.759,0,2y
2023-06-20,4.6911,4.6911,4.6911,4.6911,0,2y
2023-06-21,4.7088,4.7088,4.7088,4.7088,0,2y
2023-06-22,4.7866,4.7866,4.7866,4.7866,0,2y
2023-06-23,4.7542,4.7542,4.7542,4.7542,0,2y
2023-06-26,4.7289,4.7289,4.7289,4.7289,0,2y
2023-06-27,4.7575,4.7575,4.7575,4.7575,0,2y
2023-06-28,4.7078,4.7078,4.7078,4.7078,0,2y
2023-06-29,4.8655,4.8655,4.8655,4.8655,0,2y
2023-06-30,4.8662,4.8662,4.8662,4.8662,0,2y
2023-07-03,4.9421,4.9421,4.9421,4.9421,0,2y
2023-07-04,4.9086,4.9086,4.9086,4.9086,0,2y
2023-07-05,4.934,4.934,4.934,4.934,0,2y
2023-07-06,4.9933,4.9933,4.9933,4.9933,0,2y
2023-07-07,4.9438,4.9438,4.9438,4.9438,0,2y
2023-07-10,4.944,4.957,4.853,4.864,0,2y
2023-07-11,4.8938,4.8938,4.8938,4.8938,0,2y
2023-07-12,4.742,4.742,4.742,4.742,0,2y
2023-07-13,4.6156,4.6156,4.6156,4.6156,0,2y
2023-07-14,4.7593,4.7593,4.7593,4.7593,0,2y
2023-07-17,4.7509,4.7509,4.7509,4.7509,0,2y
2023-07-18,4.768,4.768,4.768,4.768,0,2y
2023-07-19,4.7681,4.7681,4.7681,4.7681,0,2y
2023-07-20,4.8365,4.8365,4.8365,4.8365,0,2y
2023-07-21,4.8458,4.8458,4.8458,4.8458,0,2y
2023-07-24,4.9062,4.9062,4.9062,4.9062,0,2y
2023-07-25,4.8744,4.8744,4.8744,4.8744,0,2y
2023-07-26,4.8246,4.8246,4.8246,4.8246,0,2y
2023-07-27,4.9243,4.9243,4.9243,4.9243,0,2y
2023-07-28,4.8827,4.8827,4.8827,4.8827,0,2y
2023-07-31,4.8662,4.8662,4.8662,4.8662,0,2y
2023-08-01,4.9079,4.9079,4.9079,4.9079,0,2y
2023-08-02,4.883,4.883,4.883,4.883,0,2y
2023-08-03,4.8914,4.8914,4.8914,4.8914,0,2y
2023-08-04,4.7829,4.7829,4.7829,4.7829,0,2y
2023-08-07,4.7745,4.7745,4.7745,4.7745,0,2y
2023-08-08,4.7493,4.7493,4.7493,4.7493,0,2y
2023-08-09,4.7996,4.7996,4.7996,4.7996,0,2y
2023-08-10,4.8501,4.8501,4.8501,4.8501,0,2y
2023-08-11,4.901,4.901,4.901,4.901,0,2y
2023-08-14,4.969,4.969,4.969,4.969,0,2y
2023-08-15,4.9522,4.9522,4.9522,4.9522,0,2y
2023-08-16,4.9779,4.9779,4.9779,4.9779,0,2y
2023-08-17,4.9441,4.9441,4.9441,4.9441,0,2y
2023-08-18,4.9361,4.9361,4.9361,4.9361,0,2y
2023-08-21,4.9963,4.9963,4.9963,4.9963,0,2y
2023-08-22,5.0395,5.0395,5.0395,5.0395,0,2y
2023-08-23,4.9538,4.9538,4.9538,4.9538,0,2y
2023-08-24,5.0143,5.0143,5.0143,5.0143,0,2y
2023-08-25,5.0671,5.0671,5.0671,5.0671,0,2y
2023-08-28,5.0414,5.0414,5.0414,5.0414,0,2y
2023-08-29,4.8839,4.8839,4.8839,4.8839,0,2y
2023-08-30,4.8839,4.8839,4.8839,4.8839,0,2y
2023-08-31,4.8505,4.8505,4.8505,4.8505,0,2y
2023-09-01,4.8827,4.8827,4.8827,4.8827,0,2y
2023-09-05,4.9576,4.9576,4.9576,4.9576,0,2y
2023-09-06,5.0245,5.0245,5.0245,5.0245,0,2y
2023-09-07,4.949,4.949,4.949,4.949,0,2y
2023-09-08,4.9822,4.9822,4.9822,4.9822,0,2y
2023-09-11,4.9821,4.9821,4.9821,4.9821,0,2y
2023-09-12,5.0073,5.0073,5.0073,5.0073,0,2y
2023-09-13,4.9734,4.9734,4.9734,4.9734,0,2y
2023-09-14,5.0157,5.0157,5.0157,5.0157,0,2y
2023-09-15,5.0411,5.0411,5.0411,5.0411,0,2y
2023-09-18,5.0666,5.0666,5.0666,5.0666,0,2y
2023-09-19,5.1008,5.1008,5.1008,5.1008,0,2y
2023-09-20,5.1608,5.1608,5.1608,5.1608,0,2y
2023-09-21,5.1438,5.1438,5.1438,5.1438,0,2y
2023-09-22,5.1097,5.1097,5.1097,5.1097,0,2y
2023-09-25,5.1271,5.1271,5.1271,5.1271,0,2y
2023-09-26,5.1272,5.1272,5.1272,5.1272,0,2y
2023-09-27,5.1333,5.1333,5.1333,5.1333,0,2y
2023-09-28,5.0582,5.0582,5.0582,5.0582,0,2y
